style,prompt,evaluation_seed
portrait,A detailed portrait image illustrating the stormy sea with tranquil lighting and tone.,30473
infrared,A infrared photograph of a autumn woodland bathed in moody afternoon light and atmospheric tones.,40758
astrophotography,"A finely detailed astrophotography photograph of the stormy sea, with breathtaking depth and perspective.",48960
macro,"In macro style, a detailed shot of a ethereal hidden waterfall surrounded by nature.",48464
high saturation,"A high saturation scenic capture portraying a golden frozen river, cinematic framing and tone.",39782
soft focus,"A soft focus landscape taken with glowing precision, showing the ancient ruins in full glory.",38879
street photography,"A street photography landscape scene of a rolling hills beneath radiant clouds, 8k resolution realism.",29882
street photography,"A detailed street photography landscape image of the rocky canyon, radiating melancholic energy and depth.",43965
studio lighting,"A large-format studio lighting photo of a luminous serene lake, realistic lighting and crisp detail.",45613
architectural,A detailed architectural image illustrating the mountain range with ethereal lighting and tone.,47592
high contrast,A high contrast travel photo that captures the softly lit essence of the forest valley.,8823
low light,"A low light visual study of the volcanic crater, exploring its tranquil texture and lighting.",14093
food,"In a food mood, this image captures the glowing serenity of the mountain range.",15638
sepia tone,"A nature photo taken in sepia tone style, highlighting a mist-covered sunlit meadow with soft shadows.",5244
bokeh,A bokeh view emphasizing serene patterns and contrast within the dense pine forest.,8595
overexposed,A scenic overexposed landscape capturing the beauty of the desert dunes under radiant skies.,45778
sepia tone,"A sepia tone photo of the coral beach, rich in texture and luminous atmosphere.",17803
golden hour,A golden hour photo series focusing on icy landscapes like the forest valley.,44653
blue hour,"An artistic blue hour image showing a melancholic view of the mountain range, taken at sunrise.",26310
street photography,"A street photography inspired shot of the mountain range, emphasizing texture and radiant atmosphere.",20041
vintage,"A vintage photograph showing the serene lake, rendered in serene clarity.",39925
blue hour,"A blue hour image revealing the softly lit grandeur of the hidden waterfall, subtle yet powerful.",40923
landscape,"A landscape inspired shot of the rolling hills, emphasizing texture and moody atmosphere.",47575
high contrast,"A large-format high contrast photo of a melancholic hidden waterfall, realistic lighting and crisp detail.",10110
fisheye,"A fisheye fine-art photo illustrating the volcanic crater, subtle and mist-covered.",35719
low light,"Captured in low light style, the tropical island reveals its golden charm through subtle lighting.",43615
black-and-white,"A black-and-white art photograph of the forest valley, with moody framing and luminous tone.",15585
golden hour,"A carefully composed golden hour photo of the serene lake, filled with glowing tones.",22368
monochrome,"A monochrome inspired photograph of the desert dunes, composed with icy balance and detail.",10655
low light,A low light photo highlighting the crisp emotion of nature seen in the coastal cliffs.,21196
dreamy,"A dreamy landscape scene portraying a breathtaking rocky canyon, with cinematic composition.",4674
monochrome,"A monochrome photograph of a sun-drenched mountain range, emphasizing natural light and balanced tones.",198
street photography,"A street photography image revealing the luminous grandeur of the frozen river, subtle yet powerful.",4679
dreamy,"A dreamy art photograph of the desert dunes, with shadowed framing and luminous tone.",34326
underexposed,"Captured in underexposed style, the volcanic crater reveals its moody charm through subtle lighting.",28270
minimalist,"In minimalist fashion, the volcanic crater is shown in dramatic hues and natural gradients.",4667
surreal,"A surreal visual study of the rolling hills, exploring its breathtaking texture and lighting.",34846
low light,"A low light fine-art photo illustrating the snowy meadow, subtle and mist-covered.",26959
astrophotography,A astrophotography panoramic capture showing the mist-covered openness of the city skyline.,45039
sepia tone,A sepia tone photograph depicting the breathtaking stillness of the volcanic crater at dawn.,45363
blue hour,"In blue hour style, a detailed shot of a crisp city skyline surrounded by nature.",44762
monochrome,"A monochrome exploration of the serene lake, revealing melancholic forms and light gradients.",12355
product,"A product scenic capture portraying a mist-covered mountain range, cinematic framing and tone.",6633
astrophotography,"A astrophotography outdoor shot of a stormy sea, featuring golden lighting and natural tones.",24181
HDR,A HDR photograph depicting the softly lit stillness of the volcanic crater at dawn.,37337
natural lighting,"A natural lighting art photograph of the tropical island, with mist-covered framing and luminous tone.",4296
street photography,A detailed street photography image illustrating the mountain range with mist-covered lighting and tone.,3687
natural lighting,A natural lighting travel photo that captures the serene essence of the dense pine forest.,12224
soft focus,"An artistic soft focus image showing a tranquil view of the rocky canyon, taken at sunrise.",24864
food,A food view emphasizing luminous patterns and contrast within the tropical island.,35457
studio lighting,"A studio lighting fine-art photo illustrating the forest valley, subtle and mist-covered.",47494
wide-angle,"A wide-angle art photograph of the coastal cliffs, with luminous framing and luminous tone.",3940
studio lighting,A studio lighting creative landscape photograph featuring the moody beauty of the snowy meadow.,40509
blue hour,"A blue hour exploration of the sunlit meadow, revealing glowing forms and light gradients.",36740
wide-angle,"In a wide-angle mood, this image captures the majestic serenity of the autumn woodland.",39544
fisheye,"A fisheye inspired photograph of the rocky canyon, composed with mist-covered balance and detail.",33080
food,"A food landscape scene of a mountain range beneath sun-drenched clouds, 8k resolution realism.",2803
long exposure,"A long exposure image revealing the crisp grandeur of the frozen river, subtle yet powerful.",6714
